,Date,T1,T2,T3,T4,hour,day_of_month,day_of_week,month,year,holiday
0,2020-01-01 00:00:00,77.76,88.53,88.69,87.17,0,1,2,1,2020,0.0
1,2020-01-01 01:00:00,75.64,86.2,86.68,85.72,1,1,2,1,2020,0.0
2,2020-01-01 02:00:00,74.69,84.62,84.85,84.89,2,1,2,1,2020,0.0
3,2020-01-01 03:00:00,74.82,84.35,84.85,85.24,3,1,2,1,2020,0.0
4,2020-01-01 04:00:00,78.81,86.31,88.87,88.67,4,1,2,1,2020,0.0
5,2020-01-01 05:00:00,86.13,91.17,98.43,94.71,5,1,2,1,2020,0.0
6,2020-01-01 06:00:00,90.8,94.19,102.53,96.57,6,1,2,1,2020,0.0
7,2020-01-01 07:00:00,86.89,92.94,98.18,94.87,7,1,2,1,2020,0.0
8,2020-01-01 08:00:00,85.51,92.21,97.34,93.16,8,1,2,1,2020,0.0
9,2020-01-01 09:00:00,86.88,92.98,99.73,94.55,9,1,2,1,2020,0.0
10,2020-01-01 10:00:00,86.13,93.9,101.97,95.04,10,1,2,1,2020,0.0
11,2020-01-01 11:00:00,88.89,94.94,105.51,97.26,11,1,2,1,2020,0.0
12,2020-01-01 12:00:00,90.69,95.66,106.21,98.55,12,1,2,1,2020,0.0
13,2020-01-01 13:00:00,88.31,92.58,102.54,96.74,13,1,2,1,2020,0.0
14,2020-01-01 14:00:00,83.12,90.56,101.1,95.75,14,1,2,1,2020,0.0
15,2020-01-01 15:00:00,81.58,89.86,101.69,95.7,15,1,2,1,2020,0.0
16,2020-01-01 16:00:00,82.9,90.26,101.6,95.51,16,1,2,1,2020,0.0
17,2020-01-01 17:00:00,85.7,91.7,102.27,96.24,17,1,2,1,2020,0.0
18,2020-01-01 18:00:00,92.8,98.85,110.28,101.2,18,1,2,1,2020,0.0
19,2020-01-01 19:00:00,95.7,102.08,112.93,103.74,19,1,2,1,2020,0.0
20,2020-01-01 20:00:00,91.89,99.86,107.96,100.17,20,1,2,1,2020,0.0
21,2020-01-01 21:00:00,86.39,96.13,101.76,95.49,21,1,2,1,2020,0.0
22,2020-01-01 22:00:00,79.4,91.23,93.06,90.1,22,1,2,1,2020,0.0
23,2020-01-01 23:00:00,74.89,87.37,87.65,86.63,23,1,2,1,2020,0.0
24,2020-01-02 00:00:00,73.51,86.6,85.86,84.99,0,2,3,1,2020,0.0
25,2020-01-02 01:00:00,70.93,84.22,83.95,84.11,1,2,3,1,2020,0.0
26,2020-01-02 02:00:00,70.5,83.85,83.45,83.84,2,2,3,1,2020,0.0
27,2020-01-02 03:00:00,71.54,83.85,83.89,84.3,3,2,3,1,2020,0.0
28,2020-01-02 04:00:00,77.66,87.91,91.06,89.97,4,2,3,1,2020,0.0
29,2020-01-02 05:00:00,91.72,96.57,105.82,99.58,5,2,3,1,2020,0.0
30,2020-01-02 06:00:00,92.52,98.45,106.46,98.22,6,2,3,1,2020,0.0
31,2020-01-02 07:00:00,86.63,95.29,98.24,92.9,7,2,3,1,2020,0.0
32,2020-01-02 08:00:00,90.22,98.52,100.95,92.42,8,2,3,1,2020,0.0
33,2020-01-02 09:00:00,93.54,100.6,105.91,93.04,9,2,3,1,2020,0.0
34,2020-01-02 10:00:00,94.06,102.31,105.85,94.31,10,2,3,1,2020,0.0
35,2020-01-02 11:00:00,94.93,104.53,107.58,96.03,11,2,3,1,2020,0.0
36,2020-01-02 12:00:00,94.65,104.93,108.08,97.1,12,2,3,1,2020,0.0
37,2020-01-02 13:00:00,92.67,104.63,107.05,96.19,13,2,3,1,2020,0.0
38,2020-01-02 14:00:00,93.28,105.67,109.35,96.32,14,2,3,1,2020,0.0
39,2020-01-02 15:00:00,94.08,107.35,110.04,96.82,15,2,3,1,2020,0.0
40,2020-01-02 16:00:00,95.13,107.04,111.9,96.97,16,2,3,1,2020,0.0
41,2020-01-02 17:00:00,95.24,105.06,111.24,98.33,17,2,3,1,2020,0.0
42,2020-01-02 18:00:00,102.42,108.55,118.43,103.57,18,2,3,1,2020,0.0
43,2020-01-02 19:00:00,107.67,108.62,121.1,104.39,19,2,3,1,2020,0.0
44,2020-01-02 20:00:00,103.37,105.13,113.79,102.61,20,2,3,1,2020,0.0
45,2020-01-02 21:00:00,95.81,103.37,106.1,97.55,21,2,3,1,2020,0.0
46,2020-01-02 22:00:00,85.26,97.78,96.47,91.47,22,2,3,1,2020,0.0
47,2020-01-02 23:00:00,79.68,93.15,90.74,87.35,23,2,3,1,2020,0.0
48,2020-01-03 00:00:00,77.23,90.53,87.96,85.41,0,3,4,1,2020,0.0
49,2020-01-03 01:00:00,76.84,89.25,86.58,84.64,1,3,4,1,2020,0.0
50,2020-01-03 02:00:00,77.27,88.58,85.63,84.21,2,3,4,1,2020,0.0
